ap_lift,auroc,average_precision,error_fraction_threshold,family,minimum_support,n,positives,prevalence,scene,score
0.02320528933010424,0.5833333333333334,0.8927705067214086,0.1,mask,3,23,20,0.8695652173913043,office0,nonspatial_label_entropy_residual
0.032526326451035814,0.5111111111111111,0.8151350221032098,0.2,mask,3,23,18,0.782608695652174,office0,nonspatial_label_entropy_residual
0.010211823747250715,0.5,0.7058639976602942,0.3,mask,3,23,16,0.6956521739130435,office0,nonspatial_label_entropy_residual
0.010211823747250715,0.5,0.7058639976602942,0.4,mask,3,23,16,0.6956521739130435,office0,nonspatial_label_entropy_residual
0.0924999916607977,0.775,0.962065209052102,0.1,mask,3,23,20,0.8695652173913043,office0,num_detections
0.09758756308735006,0.6166666666666666,0.880196258739524,0.2,mask,3,23,18,0.782608695652174,office0,num_detections
0.19083838001477071,0.7500000000000001,0.8864905539278142,0.3,mask,3,23,16,0.6956521739130435,office0,num_detections
0.19083838001477071,0.7500000000000001,0.8864905539278142,0.4,mask,3,23,16,0.6956521739130435,office0,num_detections
0.14794316908867988,0.7833333333333333,0.9374168532992062,0.1,association,5,19,15,0.7894736842105263,office0,voxel_second_region_residual
0.13435283326924208,0.6309523809523809,0.7659317806376631,0.2,association,5,19,12,0.631578947368421,office0,voxel_second_region_residual
0.008161467397793498,0.4666666666666667,0.48184567792410926,0.3,association,5,19,9,0.47368421052631576,office0,voxel_second_region_residual
0.1253253325621747,0.6000000000000001,0.3358516483516484,0.4,association,5,19,4,0.21052631578947367,office0,voxel_second_region_residual
-0.025161966516455747,0.3666666666666667,0.7643117176940706,0.1,association,5,19,15,0.7894736842105263,office0,voxel_owner_entropy_residual
-0.029781412115003403,0.36904761904761907,0.6017975352534176,0.2,association,5,19,12,0.631578947368421,office0,voxel_owner_entropy_residual
-0.057860473624147424,0.37777777777777777,0.41582373690216834,0.3,association,5,19,9,0.47368421052631576,office0,voxel_owner_entropy_residual
0.005445906432748532,0.43333333333333335,0.2159722222222222,0.4,association,5,19,4,0.21052631578947367,office0,voxel_owner_entropy_residual
0.016416749172167067,0.4666666666666667,0.8058904333826934,0.1,association,5,19,15,0.7894736842105263,office0,framebalanced_disagreement_residual
-0.10425597865613345,0.26190476190476186,0.5273229687122876,0.2,association,5,19,12,0.631578947368421,office0,framebalanced_disagreement_residual
-0.11836842399277897,0.19999999999999998,0.3553157865335368,0.3,association,5,19,9,0.47368421052631576,office0,framebalanced_disagreement_residual
-0.016722896986054836,0.35000000000000003,0.19380341880341884,0.4,association,5,19,4,0.21052631578947367,office0,framebalanced_disagreement_residual
-0.11028691753149955,0.23333333333333334,0.6791867666790268,0.1,association,5,19,15,0.7894736842105263,office0,nonspatial_label_entropy_residual
-0.11607344359859828,0.22619047619047622,0.5155055037698227,0.2,association,5,19,12,0.631578947368421,office0,nonspatial_label_entropy_residual
-0.14897022959458456,0.07777777777777778,0.3247139809317312,0.3,association,5,19,9,0.47368421052631576,office0,nonspatial_label_entropy_residual
-0.011010145685068279,0.3666666666666667,0.1995161701044054,0.4,association,5,19,4,0.21052631578947367,office0,nonspatial_label_entropy_residual
0.16633485909801693,0.8666666666666667,0.9558085433085433,0.1,association,5,19,15,0.7894736842105263,office0,num_detections
0.11984925405978031,0.7261904761904762,0.7514282014282013,0.2,association,5,19,12,0.631578947368421,office0,num_detections
0.24989282971739118,0.8111111111111111,0.723577040243707,0.3,association,5,19,9,0.47368421052631576,office0,num_detections
0.4353070175438596,0.9166666666666667,0.6458333333333333,0.4,association,5,19,4,0.21052631578947367,office0,num_detections
0.11235838035373613,0.8421052631578948,0.9759947439900998,0.1,mask,5,22,19,0.8636363636363636,office0,voxel_second_region_residual
0.1755119159963452,0.8,0.9482391887236179,0.2,mask,5,22,17,0.7727272727272727,office0,voxel_second_region_residual
0.23341906459553508,0.8095238095238095,0.9152372464137168,0.3,mask,5,22,15,0.6818181818181818,office0,voxel_second_region_residual
0.23341906459553508,0.8095238095238095,0.9152372464137168,0.4,mask,5,22,15,0.6818181818181818,office0,voxel_second_region_residual
0.04700332143912067,0.6491228070175439,0.9106396850754843,0.1,mask,5,22,19,0.8636363636363636,office0,voxel_owner_entropy_residual
0.07794187767553284,0.6,0.8506691504028056,0.2,mask,5,22,17,0.7727272727272727,office0,voxel_owner_entropy_residual
0.07900429807550546,0.6000000000000001,0.7608224798936872,0.3,mask,5,22,15,0.6818181818181818,office0,voxel_owner_entropy_residual
0.07900429807550546,0.6000000000000001,0.7608224798936872,0.4,mask,5,22,15,0.6818181818181818,office0,voxel_owner_entropy_residual
0.033845426702278636,0.6315789473684211,0.8974817903386423,0.1,mask,5,22,19,0.8636363636363636,office0,framebalanced_disagreement_residual
0.03090639681652252,0.5411764705882353,0.8036336695437952,0.2,mask,5,22,17,0.7727272727272727,office0,framebalanced_disagreement_residual
0.060093764164971586,0.5619047619047619,0.7419119459831534,0.3,mask,5,22,15,0.6818181818181818,office0,framebalanced_disagreement_residual
0.060093764164971586,0.5619047619047619,0.7419119459831534,0.4,mask,5,22,15,0.6818181818181818,office0,framebalanced_disagreement_residual
0.007576936850197558,0.5614035087719298,0.8712133004865612,0.1,mask,5,22,19,0.8636363636363636,office0,nonspatial_label_entropy_residual
0.008834000738936143,0.48235294117647054,0.7815612734662089,0.2,mask,5,22,17,0.7727272727272727,office0,nonspatial_label_entropy_residual
-0.03751421064888549,0.4666666666666667,0.6443039711692963,0.3,mask,5,22,15,0.6818181818181818,office0,nonspatial_label_entropy_residual
-0.03751421064888549,0.4666666666666667,0.6443039711692963,0.4,mask,5,22,15,0.6818181818181818,office0,nonspatial_label_entropy_residual
0.10329726602946387,0.8157894736842105,0.9669336296658275,0.1,mask,5,22,19,0.8636363636363636,office0,num_detections
0.11320943089974234,0.6529411764705882,0.885936703627015,0.2,mask,5,22,17,0.7727272727272727,office0,num_detections
0.21739493077728367,0.7999999999999999,0.8992131125954654,0.3,mask,5,22,15,0.6818181818181818,office0,num_detections
0.21739493077728367,0.7999999999999999,0.8992131125954654,0.4,mask,5,22,15,0.6818181818181818,office0,num_detections
0.16243997599039617,0.9285714285714286,0.985969387755102,0.1,association,10,17,14,0.8235294117647058,office0,voxel_second_region_residual
0.16485741679591948,0.712121212121212,0.8119162403253313,0.2,association,10,17,11,0.6470588235294118,office0,voxel_second_region_residual
0.036581678125795825,0.5277777777777778,0.5071699134199135,0.3,association,10,17,8,0.47058823529411764,office0,voxel_second_region_residual
